Form_Title,FORM 20 - FINAL RESULT SHEET -PART - I,,,,,,,,,,,,,,,,,
Election_Name,GENERAL ELECTIONS TO LOK SABHA," 2019""",,,,,,,,,,,,,,,,
Constituency,"150 - Jayankondam""",,,,,,,,,,,,,,,,,
Total_Electors,257301,,,,,,,,,,,,,,,,,
,,CHANDRASEKAR.P,IND,SIVAJOTHI.M,THIRUMAAVALAVAN.TH,IND,IND,IND,IND,IND,IND,IND,IND,IND,None_of_the_Above,,,
SL. NO.,Polling Station No.,AIADMK,OTHERS,NTK,VCK,OTHERS,OTHERS,AMMK,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,NOTA,TOTAL VOTES,TOTAL TURNOVER,
0,0,,,,,,,,,,,,,,,,,
1,1,636,8,26,171,1,3,41,1,0,0,4,0,0,11,902,902,0
2,2,231,1,20,596,5,6,24,1,1,2,5,1,5,6,904,904,0
3,3,548,2,4,109,0,5,36,1,2,1,3,0,0,6,717,717,0
4,4,43,0,12,459,0,0,3,0,0,1,2,2,1,1,524,524,0
5,5,371,3,17,350,1,2,48,0,1,0,7,2,1,10,813,813,0
6,6,191,1,5,466,1,1,32,0,2,2,7,1,1,2,712,712,0
7,7,446,5,20,63,2,2,118,2,0,2,1,0,2,7,670,670,0
8,8,216,3,6,267,1,5,7,0,1,4,4,1,3,5,523,523,0
9,9,395,2,16,63,0,3,25,0,0,0,0,0,1,5,510,510,0
10,10,234,2,9,70,1,4,4,0,0,0,2,1,0,6,333,333,0
11,11,436,3,11,334,2,13,30,1,0,3,5,0,1,15,854,854,0
12,12,321,4,10,374,7,3,15,0,4,0,9,1,5,17,770,770,0
13,13,362,2,18,65,2,2,56,1,1,2,1,1,0,11,524,524,0
14,14,382,1,21,91,1,1,37,2,2,2,0,0,1,10,551,551,0
15,15,408,8,35,325,4,9,69,0,1,3,4,1,2,11,880,880,0
16,16,576,4,27,87,1,3,19,0,1,1,2,3,2,22,748,748,0
17,17,236,1,15,383,0,2,35,0,0,0,4,0,2,2,680,680,0
18,18,228,1,6,8,0,5,5,0,0,0,0,0,0,4,257,257,0
19,19,606,4,22,78,1,7,69,1,2,1,1,1,3,10,806,806,0
20,20,302,3,21,123,0,0,24,0,0,0,3,0,1,4,481,481,0
21,21,491,9,8,102,3,3,43,1,0,0,0,1,3,12,676,676,0
22,22,264,2,10,75,1,1,30,0,0,2,2,2,1,2,392,392,0
23,23,261,4,13,404,5,1,42,2,2,1,6,1,4,13,759,759,0
24,24,468,3,19,388,4,1,12,2,0,0,4,0,2,11,914,914,0
25,25,531,8,27,62,2,1,90,2,1,2,2,0,5,13,746,746,0
26,26,345,6,13,258,6,5,51,0,0,0,8,2,4,18,716,716,0
27,27,256,5,7,51,2,2,46,0,0,0,1,2,2,9,383,383,0
28,28,481,5,6,132,3,11,82,1,1,0,2,1,2,10,737,737,0
29,29,498,8,15,277,8,0,44,1,1,2,4,3,9,17,887,887,0
30,30,295,0,13,102,1,2,5,2,0,0,1,0,0,13,434,434,0
31,31,198,0,12,213,3,1,25,0,0,1,2,0,1,5,461,461,0
32,32,438,4,23,174,0,10,43,3,0,1,2,0,1,10,709,709,0
33,33,231,1,32,197,1,11,45,1,0,2,0,0,2,17,540,540,0
34,34,280,4,25,216,3,18,12,0,0,0,2,2,0,13,575,575,0
35,35,292,6,61,469,4,9,5,0,1,1,6,1,0,11,866,866,0
36,36,444,3,27,311,6,18,10,0,1,3,5,1,5,22,856,856,0
37,37,414,3,29,102,3,5,7,2,0,2,3,3,2,10,585,585,0
38,38,195,1,32,225,3,2,26,0,1,2,4,0,0,6,497,497,0
39,39,42,0,31,237,0,3,13,0,0,0,4,1,1,3,335,335,0
40,40,250,3,48,352,1,18,27,1,1,2,5,0,2,8,718,718,0
41,41,221,3,48,277,1,9,13,1,0,0,3,0,0,14,590,590,0
42,42,138,2,33,399,2,4,41,2,0,1,5,1,2,10,640,640,0
43,43,93,2,55,574,3,9,25,2,1,1,15,1,4,10,795,795,0
44,44,100,3,43,670,8,5,18,3,0,1,6,3,2,8,870,870,0
45,45,100,2,82,593,3,11,17,2,2,2,17,4,4,10,849,849,0
46,46,131,3,51,708,4,3,13,2,0,1,5,3,4,14,942,942,0
47,47,281,4,49,530,4,4,39,1,2,2,3,2,4,18,943,943,0
48,48,294,5,22,335,1,4,15,0,0,2,8,1,2,15,704,704,0
49,49,105,6,12,624,8,0,8,1,0,0,7,1,4,2,778,778,0
50,50,244,1,3,73,1,3,9,0,0,0,1,0,1,3,339,339,0
51,51,545,6,27,121,2,7,34,0,0,0,5,0,4,14,765,765,0
52,52,297,6,27,511,3,3,47,0,1,2,3,0,3,3,906,906,0
53,53,270,0,6,44,1,2,2,0,0,1,0,0,1,1,328,328,0
54,54,414,4,10,406,4,6,22,0,1,1,6,2,3,13,892,892,0
55,55,640,1,12,132,1,5,15,1,0,0,4,0,0,10,821,821,0
56,56,243,1,7,397,2,5,10,0,0,2,3,0,1,2,673,673,0
57,57,164,1,57,442,6,3,30,0,1,2,2,0,0,9,717,717,0
58,58,240,1,9,163,0,4,12,1,0,0,4,1,2,2,439,439,0
59,59,203,2,36,400,2,6,25,0,0,2,6,3,3,13,701,701,0
60,60,256,8,15,532,1,5,15,0,0,2,6,1,3,5,849,849,0
61,61,199,2,6,533,5,4,34,1,0,1,9,0,2,5,801,801,0
62,62,189,3,9,391,0,3,9,2,0,0,3,0,0,6,615,615,0
63,63,115,1,8,448,5,2,10,0,0,1,5,1,2,4,602,602,0
64,64,245,3,23,184,2,0,8,0,1,1,2,0,0,2,471,471,0
65,65,369,1,40,196,0,28,16,1,0,0,1,1,0,16,669,669,0
66,66,404,0,46,278,3,25,70,3,1,0,1,1,2,21,855,855,0
67,67,325,2,39,260,4,9,27,0,4,0,6,0,1,11,688,688,0
68,68,159,1,10,253,1,3,4,0,1,1,5,2,1,6,447,447,0
69,69,409,3,69,242,5,22,15,1,3,3,5,3,2,33,815,815,0
70,70,369,3,44,257,3,30,23,0,0,0,1,2,3,31,766,766,0
71,71,173,1,24,114,1,9,6,3,0,0,5,3,2,11,352,352,0
72,72,292,2,30,399,2,6,26,2,0,0,5,2,0,21,787,787,0
73,73,298,2,14,114,0,1,6,2,0,0,2,0,0,7,446,446,0
74,74,87,3,21,461,4,1,11,0,0,2,7,0,1,4,602,602,0
75,75,91,1,27,683,4,2,11,0,0,3,8,2,2,3,837,837,0
76,76,215,1,26,299,3,9,20,6,1,1,6,1,3,18,609,609,0
77,77,219,4,33,221,3,6,5,0,1,0,4,1,1,8,506,506,0
78,78,384,3,9,55,0,4,39,0,0,0,1,0,3,13,511,511,0
79,79,398,4,24,141,1,4,54,0,0,2,3,0,2,6,639,639,0
80,80,351,4,13,288,1,2,12,1,2,0,4,1,3,7,689,689,0
81,81,215,1,28,675,1,2,16,1,0,1,18,2,1,9,970,970,0
82,82,186,3,7,74,1,0,6,1,0,0,2,0,1,1,282,282,0
83,83,348,1,17,185,0,4,62,2,1,1,2,0,1,17,641,641,0
84,84,260,3,12,156,0,3,67,1,0,6,3,0,3,14,528,528,0
85,85,759,6,15,128,3,7,42,1,1,0,1,1,0,6,970,970,0
86,86,356,1,31,326,2,8,5,1,0,0,3,1,1,11,746,746,0
87,87,642,6,31,120,0,9,16,1,1,0,2,1,1,10,840,840,0
88,88,362,5,16,55,2,1,9,0,0,1,1,1,0,5,458,458,0
89,89,108,1,7,294,3,2,6,0,0,5,11,2,3,3,445,445,0
90,90,733,8,28,136,3,8,17,3,2,2,6,3,5,14,968,968,0
91,91,577,8,11,50,2,7,25,0,1,0,2,1,1,16,701,701,0
92,92,326,1,3,37,0,1,8,1,1,0,0,0,0,12,390,390,0
93,93,323,4,20,141,0,8,5,1,0,1,3,0,1,17,524,524,0
94,94,324,1,16,206,3,9,14,1,0,0,4,2,1,12,593,593,0
95,95,464,7,15,104,3,6,8,0,1,3,3,2,4,12,632,632,0
96,96,640,10,19,110,4,7,51,1,1,4,6,2,4,22,881,881,0
97,97,799,6,26,55,3,7,16,1,0,0,0,0,1,10,924,924,0
98,98,369,4,72,285,4,9,46,1,1,0,6,2,0,13,812,812,0
99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,483,3,15,259,2,0,15,1,1,1,8,0,1,10,799,799,0
101,101,336,2,6,122,5,5,13,2,1,0,3,0,1,3,499,499,0
102,102,332,2,7,50,1,1,31,1,0,0,2,0,2,4,433,433,0
103,103,163,3,8,100,1,1,13,1,0,0,4,0,0,5,299,299,0
104,104,605,3,21,84,2,11,23,4,1,0,1,2,3,23,783,783,0
105,105,556,1,7,100,1,2,44,2,0,1,0,0,3,13,730,730,0
106,106,777,9,18,71,1,4,15,1,0,1,1,2,4,33,937,937,0
107,107,372,4,7,29,1,0,5,0,0,0,1,2,1,6,428,428,0
108,108,233,1,35,216,2,10,31,2,0,0,2,1,2,7,542,542,0
109,109,288,5,37,633,5,3,4,0,1,1,4,1,4,6,992,992,0
110,110,522,5,16,90,3,3,22,1,1,1,3,1,4,15,687,687,0
111,111,644,6,35,155,3,2,29,1,0,0,6,1,1,19,902,902,0
112,112,353,2,9,203,1,9,15,3,2,1,2,1,2,19,622,622,0
113,113,25,1,1,15,0,0,0,0,0,0,0,1,0,0,43,43,0
114,114,175,3,11,250,1,8,11,0,0,0,0,0,5,3,467,467,0
115,115,85,1,6,914,2,0,9,0,0,0,6,0,0,1,1024,1024,0
116,116,635,4,32,134,1,7,65,1,1,1,3,1,5,26,916,916,0
117,117,59,1,7,206,0,0,9,2,1,1,4,0,0,2,292,292,0
118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,61,0,14,327,1,0,4,0,0,1,0,0,0,3,411,411,0
120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,594,2,19,96,1,1,26,1,0,1,1,0,4,10,756,756,0
122,122,583,2,25,129,2,2,30,3,0,0,6,0,5,16,803,803,0
123,123,994,0,6,15,1,0,15,1,0,0,0,0,0,2,1034,1034,0
124,124,884,1,15,25,1,2,12,0,0,1,1,0,2,11,955,955,0
125,125,361,5,8,275,1,1,12,0,1,0,3,0,2,9,678,678,0
126,126,415,1,4,316,4,5,2,0,0,0,5,0,0,4,756,756,0
127,127,112,0,8,645,1,0,0,0,0,0,2,0,0,1,769,769,0
128,128,649,6,27,242,3,6,38,2,1,5,3,0,3,11,996,996,0
129,129,430,3,9,107,0,8,20,1,0,0,0,0,2,14,594,594,0
130,130,410,3,12,114,6,44,106,4,3,2,3,1,2,16,726,726,0
131,131,280,2,7,195,0,10,17,4,1,1,2,0,0,10,529,529,0
132,132,294,1,14,81,1,12,181,2,1,2,3,0,3,17,612,612,0
133,133,358,0,5,12,0,1,222,1,2,2,2,1,3,5,614,614,0
134,134,241,2,23,204,1,6,44,0,0,2,3,1,2,15,544,544,0
135,135,203,0,30,191,4,11,38,2,0,1,4,0,1,7,492,492,0
136,136,177,1,14,191,0,3,226,3,0,3,3,1,8,7,637,637,0
137,137,259,2,15,576,4,1,21,3,1,1,7,1,0,12,903,903,0
138,138,259,1,13,295,3,1,176,1,6,3,8,1,4,7,778,778,0
139,139,630,1,13,285,3,4,34,2,0,0,2,3,1,5,983,983,0
140,140,242,4,39,539,7,2,29,0,3,2,2,1,3,10,883,883,0
141,141,386,3,8,63,0,1,5,0,0,0,0,0,2,5,473,473,0
142,142,100,4,6,642,6,3,18,0,0,2,4,0,7,5,797,797,0
143,143,438,1,47,353,6,8,33,1,0,0,5,1,3,7,903,903,0
144,144,521,11,41,207,1,11,40,2,0,0,5,0,3,26,868,868,0
145,145,376,3,44,166,4,19,22,2,1,0,4,0,5,29,675,675,0
146,146,367,2,15,86,0,2,3,0,0,1,3,1,0,15,495,495,0
147,147,463,3,38,81,1,6,14,1,0,0,1,1,1,8,618,618,0
148,148,437,6,10,91,1,8,71,3,0,2,1,0,2,12,644,644,0
149,149,343,3,23,134,3,7,24,0,2,0,1,2,3,9,554,554,0
150,150,493,2,40,268,4,12,71,5,0,2,4,5,4,26,936,936,0
151,151,505,7,28,295,6,13,63,1,0,1,10,3,2,13,947,947,0
152,152,387,5,15,538,2,12,44,3,1,1,10,0,4,12,1034,1034,0
153,153,198,2,54,456,0,28,79,0,1,0,7,0,2,12,839,839,0
154,154,367,2,42,327,6,33,55,4,1,2,4,3,1,22,869,869,0
155,155,683,5,39,50,0,12,58,3,3,2,6,1,0,24,886,886,0
156,156,519,9,21,69,0,5,40,0,1,1,4,0,2,10,681,681,0
157,157,273,5,35,275,1,28,56,1,0,0,4,1,2,13,694,694,0
158,158,229,1,39,239,0,43,56,0,0,0,3,0,1,5,616,616,0
159,159,203,2,50,247,0,28,41,1,0,0,2,2,3,13,592,592,0
