GENERAL ELECTIONS TO TAMIL NADU LEGISLATIVE ASSEMBLY 2021																	
No. & Name of the Assembly Constituency: 150 - JAYANKONDAM AC																	
Total No. of Electors in Assembly Constituency: 266268																	
SL. NO.	Polling Station No.	KANNAN KA SO KA	NEELAMEGAM K	SIVA J K	SORNALATHA @	NATARAJAN A	BALU K	MAHALINGAM NEELA	KESAVARAJAN V K	SATHISKUMAR R	SAMUVEL MARTIN A	SUDARVIZHI K	SEDHURAMAN R	RAJKUMAR S	NONE OF THE ABOVE	TOTAL TURNOVER	TOTAL VOTES
PARTY	0	DMK	BSP	AMMK	IJK	IND	PMK	NTK	IND	IND	IND	IND	IND	IND	NOTA	0	0
1	1	157	1	4	7	1	294	20	1	0	0	0	0	1	2	488	488
2	1(A)	179	1	2	4	1	311	14	7	2	0	1	0	2	5	529	529
3	2	331	0	4	1	0	102	11	1	0	0	0	0	2	3	455	455
4	2(A)	341	1	3	1	1	125	7	0	0	1	2	0	0	10	492	492
5	3	220	0	0	19	0	484	13	6	2	0	1	0	3	9	757	757
6	4	395	1	7	0	1	56	47	0	0	1	1	0	4	3	516	516
7	5	394	1	2	6	1	381	18	3	2	3	1	1	7	10	830	830
8	6	435	3	10	3	1	227	33	3	0	0	1	1	1	6	724	724
9	7	130	1	5	8	0	525	10	7	1	0	0	2	1	3	693	693
10	8	266	0	9	4	1	221	18	8	1	0	2	2	0	6	538	538
11	9	101	1	2	6	1	383	12	4	1	0	0	1	1	5	518	518
12	10	126	0	0	1	0	224	12	0	1	0	0	0	3	2	369	369
13	11	163	0	6	12	0	195	26	2	1	0	0	0	0	5	410	410
14	11(A)	168	2	1	6	4	233	20	5	0	1	1	1	3	8	453	453
15	12	460	3	1	7	0	316	20	4	1	0	1	1	2	8	824	824
16	13	156	2	1	14	1	340	30	3	0	0	1	1	1	2	552	552
17	14	152	0	3	1	0	378	21	3	2	0	2	0	3	4	569	569
18	15	199	2	5	5	1	206	33	1	2	0	1	1	1	1	458	458
19	15(A)	220	0	0	7	0	233	10	3	2	0	0	1	2	4	482	482
20	16	201	0	5	13	2	485	39	8	2	0	2	2	7	7	773	773
21	17	390	2	7	36	2	239	20	2	2	2	0	4	4	15	725	725
22	18	63	0	3	29	0	175	7	2	2	0	0	0	1	2	284	284
23	19	227	2	3	14	2	511	80	7	1	0	0	0	0	8	855	855
24	20	168	1	4	22	2	278	25	1	1	0	1	0	1	2	506	506
25	21	286	3	9	14	3	321	21	9	4	2	0	1	7	4	684	684
26	22	161	1	2	3	1	217	11	3	0	0	0	0	0	5	404	404
27	23	430	2	8	3	3	302	35	4	1	1	0	0	5	7	801	801
28	24	224	2	5	28	0	189	26	0	1	0	0	0	0	2	477	477
29	24(A)	242	1	2	12	2	198	11	3	2	1	0	0	2	3	479	479
30	25	161	2	8	29	0	560	23	10	1	0	1	1	4	6	806	806
31	26	333	3	7	16	1	319	26	5	1	1	1	0	3	8	724	724
32	27	144	3	1	5	0	227	9	5	3	0	1	0	2	3	403	403
33	28	209	1	12	16	6	503	19	8	0	0	1	2	4	1	782	782
34	29	188	2	2	13	1	226	17	1	0	0	0	0	1	4	455	455
35	29(A)	210	1	2	8	3	260	8	3	2	1	1	0	4	5	508	508
36	30	140	3	2	12	2	288	9	3	2	1	1	2	0	4	469	469
37	31	229	1	3	9	1	201	20	4	0	2	1	0	0	3	474	474
38	32	305	6	1	18	3	386	38	4	1	1	0	2	7	6	778	778
39	33	261	1	8	14	0	225	31	0	1	2	0	0	1	5	549	549
40	34	279	1	4	17	2	290	31	2	1	1	0	1	0	6	635	635
41	35	237	4	14	7	1	126	40	1	0	0	1	1	1	2	435	435
42	35(A)	263	0	4	2	0	139	30	2	1	1	0	0	2	1	445	445
43	36	212	2	0	10	0	202	26	2	1	2	0	0	0	0	457	457
44	36(A0	227	0	2	3	2	192	22	9	2	0	1	1	1	14	476	476
45	37	158	0	2	28	1	367	38	7	1	0	2	2	6	5	617	617
46	38	217	2	4	14	1	196	80	2	0	1	0	0	1	1	519	519
47	39	220	3	1	8	0	75	47	3	0	1	1	2	0	2	363	363
48	40	464	2	6	11	1	168	93	3	1	3	1	1	2	3	759	759
49	41	380	0	6	7	0	156	54	2	1	2	0	2	0	5	615	615
50	42	408	4	10	11	4	152	39	4	2	0	1	2	2	12	651	651
51	43	528	1	17	5	1	130	100	3	0	1	0	1	5	14	806	806
52	44	299	1	4	3	0	42	68	1	1	1	0	0	0	4	424	424
53	44(A)	368	1	3	2	0	39	42	3	0	0	0	1	1	10	470	470
