GENERAL ELECTIONS TO TAMIL NADU MP 2024,,,,,,,,,FORM 20 - FINAL RESULT SHEET -PART - I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. & Name of the Assembly Constituency: 150 - JAYANKONDAM AC,,,,,,,,,"GENERAL ELECTIONS TO LOK SABHA, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total No. of Electors in Assembly Constituency: 258532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL. NO.,Polling Station No.,KARTHIYAYINI. P,CHANDRAHASAN. M (AIADMK),NEELAMEGAM. K,IND,THIRUMAAVALAVAN.THOL,JANCIRANI. R,IND,IND,IND,IND,IND,IND,IND,IND,NONE OF THE ABOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTY,0,BJP,AIADMK,BSP,OTHERS,VCK,NTK,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,NOTA,TOTAL TURNOVER,TOTAL VOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,151,579,1,0,186,39,1,0,2,0,1,0,0,0,8,968,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,39,205,1,1,661,24,4,1,0,2,6,1,0,0,4,949,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,170,419,2,2,108,24,0,1,0,1,1,0,1,7,5,741,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2,115,1,0,374,23,0,0,0,0,0,0,0,0,0,515,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,95,372,0,0,310,20,0,0,0,1,4,0,2,2,3,809,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,30,208,1,0,454,16,1,0,0,2,2,1,0,2,3,720,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,104,455,2,0,91,17,2,0,0,0,0,0,0,0,3,674,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,47,194,1,1,256,12,0,0,0,3,2,1,1,1,3,522,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,167,244,0,0,72,31,0,0,0,0,0,0,1,1,2,518,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,57,161,4,0,93,16,1,0,0,1,1,1,0,0,0,335,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,76,412,0,2,294,28,0,0,0,1,0,1,2,2,7,825,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,103,293,1,0,392,23,0,1,0,1,3,1,0,1,2,821,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,124,277,1,1,93,25,1,0,0,0,0,0,0,1,4,527,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,127,280,1,1,93,25,2,0,0,1,0,0,0,0,5,535,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,80,417,2,2,321,32,2,1,0,3,2,0,2,4,11,879,879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,120,428,4,1,95,41,0,0,2,3,1,2,0,4,3,704,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,60,292,1,0,325,29,0,0,0,0,0,1,0,1,2,711,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,45,160,2,0,43,11,0,0,0,1,0,0,0,0,1,263,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,138,425,2,0,157,61,0,0,0,1,1,1,1,0,8,795,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,74,258,2,0,136,15,0,0,1,0,0,0,0,3,2,491,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,128,372,3,0,132,36,2,0,0,1,0,0,0,1,5,680,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,79,220,2,0,80,16,0,0,0,0,0,0,0,0,1,398,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,74,279,4,1,395,35,1,1,1,0,2,1,1,1,3,799,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,167,328,1,2,393,38,1,0,0,2,2,2,0,0,3,939,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,253,327,1,1,103,42,1,0,1,1,1,2,2,3,13,751,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,95,309,3,1,233,32,1,0,1,0,6,5,1,3,4,694,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,74,233,4,0,46,18,0,0,1,2,1,0,2,3,2,386,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,172,372,5,1,143,22,2,0,0,3,1,0,0,0,10,731,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,125,486,6,0,214,54,1,0,0,2,1,2,1,3,6,901,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
